procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 292468  15736 437056    0    0     0     4 4860 1764  1 23 76  0  0  0
 0  0      0 291284  15736 437068    0    0     0     0 5384 1814  1 25 74  0  0  0
 0  0      0 292800  15744 437080    0    0     0    16 5303 1977  0 25 74  2  0  0
 0  0      0 293508  15744 437092    0    0     0     0 5015 1781  1 23 76  0  0  0
 0  0      0 292868  15744 437100    0    0     0     0 5557 1830  1 26 73  0  0  0
 0  0      0 293540  15744 437112    0    0     0     0 5266 1830  1 24 75  0  0  0
 0  0      0 293204  15744 437124    0    0     0     0 5376 1861  1 25 74  0  0  0
 0  0      0 293108  15752 437132    0    0     0    16 5857 2099  1 28 71  0  0  0
 1  0      0 288180  15752 442372    0    0  5228     0 5263 1914  0 27 73  0  0  0
 0  0      0 288660  15752 442384    0    0     0     0 5458 1906  1 28 71  0  0  0
 0  0      0 290132  15752 442400    0    0     0     0 5127 1705  1 26 73  0  0  0
 7  0      0 290388  15752 442408    0    0     0     0 5131 1811  1 23 76  0  0  0
 0  0      0 288372  15760 442420    0    0     0    16 5313 1947  1 25 74  0  0  0
 0  0      0 288692  15760 442432    0    0     0     0 5418 1875  1 30 69  0  0  0
 3  0      0 288724  15760 442440    0    0     0     0 4806 1764  1 22 77  0  0  0
 2  0      0 289524  15760 442452    0    0     0     0 5325 1834  1 24 75  0  0  0
 0  0      0 289588  15760 442464    0    0     0     0 4765 1658  0 22 78  0  0  0
 0  0      0 289940  15768 442472    0    0     0    16 5381 1989  1 27 70  2  0  0
 1  0      0 287284  15768 442760    0    0   240     0 5409 1954  1 25 74  0  0  0
 0  0      0 285864  15768 442720    0    0     0     0 5626 1835  0 27 73  0  0  0
 0  0      0 286872  15768 442732    0    0     0     0 5184 1823  2 24 74  0  0  0
 0  0      0 287344  15768 442740    0    0     0     0 5519 1914  1 26 73  0  0  0
 0  0      0 286784  15776 442752    0    0     0    16 5244 1808  1 25 74  1  0  0
 0  0      0 286892  15776 442764    0    0     0     0 5639 1980  1 27 71  1  0  0
 7  0      0 287480  15776 442772    0    0     0     0 5172 1883  0 24 76  0  0  0
 0  0      0 287768  15776 442784    0    0     0   344 4735 1874  2 21 77  0  0  0
 0  0      0 287832  15776 442796    0    0     0     0 4597 1665  0 23 77  0  0  0
 0  0      0 288484  15784 442808    0    0     0    60 4564 1744  1 21 78  0  0  0
 0  0      0 288432  15784 442856    0    0     0     0 5858 1958  1 26 73  0  0  0
 0  0      0 288208  15784 442816    0    0     0     0 5061 1869  1 22 77  0  0  0
 0  0      0 288336  15784 442828    0    0     0     0 5332 1785  0 25 75  0  0  0
 6  0      0 288176  15784 442836    0    0     0     0 5542 2048  1 24 75  0  0  0
 0  0      0 288080  15792 442848    0    0     0    20 5605 1833  1 24 73  2  0  0
 0  0      0 287536  15792 442860    0    0     0     0 5499 1868  1 26 73  0  0  0
 2  0      0 286768  15792 442872    0    0     0     0 5976 2025  0 28 72  0  0  0
 0  0      0 286992  15792 442880    0    0     0     0 5480 1870  1 25 74  0  0  0
 0  0      0 287152  15792 442892    0    0     0     0 4955 1748  1 23 76  0  0  0
 0  0      0 287376  15800 442896    0    0     0    16 5176 1962  1 23 76  0  0  0
 3  0      0 286608  15800 442912    0    0     0     0 5567 1816  1 25 74  0  0  0
 0  0      0 282992  15800 452452    0    0  9528     0 5780 2054  1 27 72  0  0  0
 0  0      0 283248  15800 452464    0    0     0     0 5299 1861  1 24 75  0  0  0
 4  0      0 283856  15800 452476    0    0     0     0 5803 1970  1 29 70  0  0  0
 0  0      0 280176  15808 452476    0    0     0    16 5160 1809  0 24 76  0  0  0
 1  0      0 281276  15808 452496    0    0     0     0 5297 1787  1 23 76  0  0  0
 5  0      0 281724  15808 452508    0    0     0     0 4946 1871  1 24 75  0  0  0
 0  0      0 282140  15808 452516    0    0     0     0 5717 1847  1 24 74  0  0  0
 0  0      0 282524  15808 452532    0    0     0     0 5314 1804  1 25 74  0  0  0
 0  0      0 282588  15816 452536    0    0     0    16 4870 1837  0 24 75  1  0  0
 0  0      0 282620  15816 452560    0    0     0     0 5377 1872  1 25 74  0  0  0
 0  0      0 275400  15816 460764    0    0  8192     0 5125 1828  1 23 76  0  0  0
 0  0      0 275816  15816 460776    0    0     0     0 5614 1944  1 25 74  0  0  0
 5  0      0 276040  15816 460788    0    0     0     0 5017 1837  0 24 76  0  0  0
 0  0      0 273964  15824 460788    0    0     0    16 5611 1823  1 26 73  0  0  0
 6  0      0 274100  15824 460808    0    0     0     0 4955 1787  1 22 77  0  0  0
 2  0      0 274644  15824 460820    0    0     0     0 5378 1883  0 23 77  0  0  0
 0  0      0 275124  15824 460828    0    0     0     0 5525 1938  1 28 71  0  0  0
 0  0      0 274644  15824 460840    0    0     0   336 6044 1958  0 27 73  0  0  0
 1  0      0 275104  15832 460844    0    0     0    44 4990 1973  1 23 75  1  0  0
 0  0      0 275840  15832 460864    0    0     0     0 5546 1899  2 23 75  0  0  0
 0  0      0 267308  15832 462424    0    0  1516     0 5273 1766  1 24 75  0  0  0
