procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  0      0 229812  15752 463288    0    0     0     0 17699 7512 3 96  1  0  0  0
23  0      0 221768  15752 463348    0    0     0     0 17672 7873 3 96  1  0  0  0
22  0      0 222248  15760 463392    0    0     0    16 17505 7859 3 97  0  0  0  0
 4  0      0 228760  15760 463452    0    0     0     0 17730 8323 3 97  0  0  0  0
23  0      0 229904  15760 463504    0    0     0     0 17400 9002 3 91  6  0  0  0
22  0      0 212652  15760 464600    0    0  1064     0 17213 8762 3 97  0  0  0  0
29  0      0 218096  15760 464676    0    0     0     0 17798 8055 4 96  0  0  0  0
16  0      0 210992  15768 464720    0    0     0    16 17808 8131 2 98  0  0  0  0
23  0      0 219152  15768 464744    0    0     0     0 17667 7816 4 96  0  0  0  0
48  0      0 216648  15768 464824    0    0     0     4 17145 7202 4 96  0  0  0  0
52  0      0 210480  15768 464840    0    0     0     0 16256 5562 3 97  0  0  0  0
47  0      0 203220  15768 464880    0    0     0     0 15605 5961 4 96  0  0  0  0
21  0      0 206268  15776 464912    0    0     0    16 16170 5692 4 96  0  0  0  0
19  0      0 206660  15776 464952    0    0     0     0 16364 5094 3 97  0  0  0  0
15  0      0 208968  15776 464996    0    0     0     0 16016 4414 4 96  0  0  0  0
22  0      0 205168  15776 465072    0    0     0     0 16224 3849 4 96  0  0  0  0
21  0      0 192652  15776 465160    0    0     0     0 17518 4313 4 96  0  0  0  0
29  0      0 195436  15784 470400    0    0  5228    32 17080 4280 3 97  0  0  0  0
28  0      0 188092  15784 470416    0    0     0  1516 16444 3808 4 96  0  0  0  0
15  0      0 192136  15784 470500    0    0     0     0 16424 4077 5 95  0  0  0  0
31  0      0 191352  15784 470584    0    0     0     0 17253 4001 4 96  0  0  0  0
22  0      0 196800  15784 470640    0    0     0     0 18465 4235 3 97  0  0  0  0
27  0      0 192516  15792 470680    0    0     0    28 18058 3858 3 97  0  0  0  0
25  0      0 191424  15792 470740    0    0     0    20 17507 6957 4 96  0  0  0  0
20  0      0 193920  15792 470792    0    0     0     0 17885 4805 3 97  0  0  0  0
36  0      0 196800  15792 470852    0    0     0     0 18024 4453 4 96  0  0  0  0
20  0      0 187460  15792 470908    0    0     0     0 17431 5424 3 97  0  0  0  0
27  0      0 188132  15800 470976    0    0     0    16 17964 4662 4 96  0  0  0  0
29  0      0 185152  15800 471252    0    0   240     0 17987 4448 3 97  0  0  0  0
35  0      0 181776  15800 471284    0    0     0     0 17413 6695 4 96  0  0  0  0
17  0      0 181744  15800 471336    0    0     0     0 17654 4835 3 97  0  0  0  0
22  0      0 181872  15800 471388    0    0     0     0 18138 4588 4 96  0  0  0  0
15  0      0 182864  15808 471432    0    0     0    16 17823 3925 3 97  0  0  0  0
16  0      0 183344  15808 471488    0    0     0     0 18348 4036 5 95  0  0  0  0
38  0      0 179060  15808 471552    0    0     0     0 17560 5236 3 97  0  0  0  0
 9  0      0 182664  15808 471616    0    0     0     0 16923 11202 4 96 0  0  0  0
37  0      0 186268  15808 471688    0    0     0     0 17833 9957 3 96  1  0  0  0
30  0      0 187428  15816 471736    0    0     0    16 17318 10133 2 98 0  0  0  0
17  0      0 197200  15816 471800    0    0     0     0 17486 10128 3 92 5  0  0  0
35  0      0 184892  15816 471852    0    0     0     0 17182 9467 3 97  0  0  0  0
36  0      0 193828  15816 471896    0    0     0     0 16884 8720 3 97  0  0  0  0
16  0      0 192396  15816 471944    0    0     0     0 17001 9389 3 97  0  0  0  0
